StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,QID11_1,QID11_2,QID11_3,QID11_4,QID11_5,QID11_6,QID15,QID28,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
2026-08-14 18:31:24,2026-08-14 18:46:24,IP Address,100,900,True,2026-08-14 18:46:25,R_80HrASYfy4Y8MMC,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Slighly Familiar,Very Easy,A lot,Yes,Very Easy,A lot,Unsure,Very Easy,A lot,Yes,Somewhat Easy,A lot,Unsure,Very useful,"Example 4 was a bit hard to trust because it said to shut the server down, but it was still doing some woRk","was mostly easy to understand, even without knowing much about cloud servers."
2026-08-14 22:24:01,2026-08-14 22:24:48,IP Address,100,47,True,2026-08-14 22:24:48,R_8lMFGy5jt8CBmtE,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Slighly Familiar,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Very useful,,
2026-08-14 22:26:16,2026-08-14 22:26:55,IP Address,100,38,True,2026-08-14 22:26:55,R_8bCR5i4a3eQav0R,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Moderately Familiar,Somewhat Confusing,A little,No,Somewhat Confusing,A little,No,Somewhat Confusing,A moderate amount,Yes,Neutral,A moderate Amount,No,Not at all useful,,
2026-08-14 22:26:58,2026-08-14 22:28:21,IP Address,100,83,True,2026-08-14 22:28:21,R_8JknVdvGSVMfiA1,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Moderately Familiar,Somewhat Confusing,A little,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Moderately useful,,
2026-08-14 22:39:44,2026-08-14 22:40:18,IP Address,100,34,True,2026-08-14 22:40:18,R_2fbevDrYXlhXyYV,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Extremely Familiar,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Extremely useful,,
2026-08-16 15:12:19,2026-08-16 15:13:08,IP Address,100,48,True,2026-08-16 15:13:08,R_82EAeBDdcjP25ex,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Confusing,A little,No,Neutral,A moderate amount,No,Very Confusing,None at all Useful,No,Very Confusing,None at all Useful,No,Not at all useful,,
2026-08-16 15:25:15,2026-08-16 15:37:03,IP Address,100,708,True,2026-08-16 15:37:04,R_8fPNsudqx1VScaZ,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Easy,A lot,Yes,Neutral,A lot,Yes,Very Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Very useful,,
2026-08-16 16:03:58,2026-08-16 16:06:23,IP Address,100,144,True,2026-08-16 16:06:23,R_8URuosK1izMdkBz,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Extremely Familiar,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Very Easy,A great deal,Yes,Somewhat Easy,A lot,Yes,Very useful,,
2026-08-16 15:59:18,2026-08-16 16:37:24,IP Address,100,2285,True,2026-08-16 16:37:24,R_8rB23Nefzf1Q4Jz,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Very Easy,A great deal,Yes,Very Easy,A great deal,Yes,Somewhat Easy,A lot,Yes,Very Easy,A great deal,Yes,Extremely useful,"The shutdown recommendation with Medium confidence was the hardest to trust, as occasional workload spikes could be missed by the summary metrics.","Including the estimated cost saving, observation period and main factors behind the confidence score would make the recommendations more actionable."
2026-08-16 22:57:56,2026-08-16 23:03:19,IP Address,100,323,True,2026-08-16 23:03:20,R_8G0UjEYDIu0o6LD,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Very Easy,A great deal,Yes,Very Easy,A great deal,Unsure,Very Easy,A great deal,Yes,Very Easy,A great deal,No,Very useful,,
2026-08-17 08:12:29,2026-08-17 08:18:16,IP Address,100,346,True,2026-08-17 08:18:16,R_8Kl71rFLFl1TH8w,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Confusing,A little,No,Neutral,A moderate amount,Yes,Somewhat Easy,A lot,Yes,Somewhat Confusing,A little,Unsure,Moderately useful,,
2026-08-21 14:23:26,2026-08-21 14:24:07,IP Address,100,41,True,2026-08-21 14:24:08,R_8F47JnlapDZwfC1,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Easy,A lot,Yes,Very Easy,A great deal,Unsure,Somewhat Easy,A lot,Yes,Neutral,A moderate Amount,Unsure,Very useful,,
2026-08-22 15:35:25,2026-08-22 15:39:10,IP Address,100,224,True,2026-08-22 15:39:10,R_8J3kTZC9Dk9n9qz,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Confusing,A little,No,Somewhat Confusing,A little,No,Neutral,A moderate amount,No,Somewhat Confusing,A little,No,Slightly useful,The shutdown recommendation felt a bit too strong. I’d want more context on the VM’s workload before trusting it.,"Useful idea, but I wouldn’t rely on the recommendations without some human review."
2026-08-22 15:39:16,2026-08-22 15:43:23,IP Address,100,246,True,2026-08-22 15:43:23,R_8x6BZVADnmIg6Z3,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Easy,A moderate amount,No,Somewhat Easy,A moderate amount,Yes,Neutral,A moderate amount,Unsure,Neutral,A moderate Amount,No,Slightly useful,No major issues. I would probably just want more information before shutting down a VM.,Good concept overall.
2026-08-22 15:46:01,2026-08-22 15:46:57,IP Address,100,56,True,2026-08-22 15:46:58,R_8MVWbaiT2VdYEwc,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Confusing,A moderate amount,No,Somewhat Confusing,A little,No,Somewhat Confusing,A little,No,Somewhat Confusing,A little,No,Slightly useful,I was less comfortable with recommendations that had lower confidence.,Showing the main reasons behind each prediction would improve it.
2026-08-16 17:14:53,2026-08-16 17:17:24,IP Address,36,150,False,2026-08-23 17:17:26,R_2wfyc0izySgCe9H,anonymous,EN-GB,FL_16,"QID32,QID42,QID43,QID44",Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Very Easy,A great deal,Unsure,,,,,,,,,,,,
2026-08-24 12:47:44,2026-08-24 14:07:57,IP Address,100,4812,True,2026-08-24 14:07:57,R_2IPHrkNFm707Mu6,anonymous,EN-GB,FL_EOS_ID,,Yes,Yes,Yes,Yes,Yes,Yes,No — I do not wish to take part,,,,,,,,,,,,,,,,
2026-08-24 14:56:09,2026-08-24 15:21:19,IP Address,100,1510,True,2026-08-24 15:21:20,R_8hcMqyOWUTlvsL2,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,,,,,,,,,,,,,,,
