vm_id,actual_label,predicted_label,probability_false,probability_true,confidence_score,confidence_band,recommendation
1090,False,False,0.97,0.03,0.97,High,No Action
698,True,True,0.043333333333333335,0.9566666666666667,0.9566666666666667,High,Shutdown
1232,True,True,0.44,0.56,0.56,Low,No Action
1029,False,False,0.91,0.09,0.91,High,No Action
675,False,False,1.0,0.0,1.0,High,No Action
677,False,False,1.0,0.0,1.0,High,No Action
790,False,False,0.9366666666666666,0.06333333333333334,0.9366666666666666,High,No Action
259,False,False,1.0,0.0,1.0,High,No Action
516,False,False,0.7533333333333333,0.24666666666666667,0.7533333333333333,Medium,No Action
67,True,True,0.22333333333333333,0.7766666666666666,0.7766666666666666,Medium,Resize
920,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
1083,True,True,0.0,1.0,1.0,High,Shutdown
567,False,False,0.95,0.05,0.95,High,No Action
806,False,False,0.5833333333333334,0.4166666666666667,0.5833333333333334,Low,No Action
1163,True,True,0.19666666666666666,0.8033333333333333,0.8033333333333333,Medium,Resize
1181,True,True,0.0,1.0,1.0,High,Shutdown
1154,True,True,0.0,1.0,1.0,High,Shutdown
1047,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
137,True,True,0.02,0.98,0.98,High,Shutdown
863,True,True,0.04,0.96,0.96,High,Shutdown
352,False,False,1.0,0.0,1.0,High,No Action
34,True,True,0.0,1.0,1.0,High,Shutdown
29,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
285,False,False,1.0,0.0,1.0,High,No Action
235,False,False,1.0,0.0,1.0,High,No Action
468,True,True,0.0,1.0,1.0,High,Shutdown
399,True,True,0.01,0.99,0.99,High,Shutdown
124,False,False,1.0,0.0,1.0,High,No Action
1064,True,True,0.02666666666666667,0.9733333333333334,0.9733333333333334,High,Shutdown
993,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
724,True,True,0.0,1.0,1.0,High,Shutdown
129,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
709,False,False,1.0,0.0,1.0,High,No Action
707,True,True,0.07333333333333333,0.9266666666666666,0.9266666666666666,High,Shutdown
977,False,False,1.0,0.0,1.0,High,No Action
82,True,True,0.02666666666666667,0.9733333333333334,0.9733333333333334,High,Shutdown
647,False,False,1.0,0.0,1.0,High,No Action
526,True,True,0.19666666666666666,0.8033333333333333,0.8033333333333333,Medium,Resize
1082,True,True,0.0,1.0,1.0,High,Shutdown
940,False,False,1.0,0.0,1.0,High,No Action
106,False,False,0.9533333333333334,0.04666666666666667,0.9533333333333334,High,No Action
794,False,False,0.8366666666666667,0.16333333333333333,0.8366666666666667,Medium,No Action
1158,False,False,1.0,0.0,1.0,High,No Action
706,False,False,0.5966666666666667,0.4033333333333333,0.5966666666666667,Low,No Action
525,True,True,0.016666666666666666,0.9833333333333333,0.9833333333333333,High,Shutdown
1058,True,True,0.0,1.0,1.0,High,Shutdown
249,False,False,1.0,0.0,1.0,High,No Action
25,False,False,0.99,0.01,0.99,High,No Action
1122,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
447,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
100,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
714,False,False,1.0,0.0,1.0,High,No Action
294,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
779,False,False,0.87,0.13,0.87,Medium,No Action
409,True,True,0.0,1.0,1.0,High,Shutdown
286,False,False,1.0,0.0,1.0,High,No Action
284,False,False,1.0,0.0,1.0,High,No Action
568,False,False,0.96,0.04,0.96,High,No Action
1103,True,True,0.0,1.0,1.0,High,Shutdown
1049,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
257,False,False,1.0,0.0,1.0,High,No Action
175,True,True,0.0,1.0,1.0,High,Shutdown
712,False,False,1.0,0.0,1.0,High,No Action
435,False,False,0.9766666666666667,0.023333333333333334,0.9766666666666667,High,No Action
1145,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
1100,True,True,0.14333333333333334,0.8566666666666667,0.8566666666666667,Medium,Resize
283,False,False,1.0,0.0,1.0,High,No Action
861,False,False,1.0,0.0,1.0,High,No Action
79,False,False,0.91,0.09,0.91,High,No Action
914,False,False,0.6566666666666666,0.3433333333333333,0.6566666666666666,Low,No Action
167,False,False,0.9366666666666666,0.06333333333333334,0.9366666666666666,High,No Action
651,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
1133,False,False,0.99,0.01,0.99,High,No Action
783,False,False,0.8733333333333333,0.12666666666666668,0.8733333333333333,Medium,No Action
78,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
1036,False,False,0.9333333333333333,0.06666666666666667,0.9333333333333333,High,No Action
539,True,True,0.013333333333333334,0.9866666666666667,0.9866666666666667,High,Shutdown
1120,True,True,0.023333333333333334,0.9766666666666667,0.9766666666666667,High,Shutdown
805,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
522,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
1155,True,True,0.0,1.0,1.0,High,Shutdown
1040,True,True,0.016666666666666666,0.9833333333333333,0.9833333333333333,High,Shutdown
829,True,True,0.06333333333333334,0.9366666666666666,0.9366666666666666,High,Shutdown
415,False,False,0.8366666666666667,0.16333333333333333,0.8366666666666667,Medium,No Action
1247,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
212,False,False,1.0,0.0,1.0,High,No Action
382,True,True,0.25666666666666665,0.7433333333333333,0.7433333333333333,Medium,Resize
512,True,True,0.0,1.0,1.0,High,Shutdown
537,True,True,0.0,1.0,1.0,High,Shutdown
469,True,True,0.0,1.0,1.0,High,Shutdown
373,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
640,False,False,1.0,0.0,1.0,High,No Action
774,False,False,0.9733333333333334,0.02666666666666667,0.9733333333333334,High,No Action
695,False,False,0.74,0.26,0.74,Medium,No Action
393,True,True,0.0,1.0,1.0,High,Shutdown
607,False,False,0.9366666666666666,0.06333333333333334,0.9366666666666666,High,No Action
38,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
471,True,True,0.0,1.0,1.0,High,Shutdown
734,False,False,1.0,0.0,1.0,High,No Action
1110,True,True,0.0,1.0,1.0,High,Shutdown
1005,False,False,1.0,0.0,1.0,High,No Action
1229,False,False,1.0,0.0,1.0,High,No Action
531,False,False,0.9533333333333334,0.04666666666666667,0.9533333333333334,High,No Action
363,True,True,0.11333333333333333,0.8866666666666667,0.8866666666666667,Medium,Resize
35,True,True,0.1,0.9,0.9,High,Shutdown
853,False,False,0.8666666666666667,0.13333333333333333,0.8666666666666667,Medium,No Action
245,False,False,1.0,0.0,1.0,High,No Action
1195,True,True,0.0,1.0,1.0,High,Shutdown
386,True,True,0.02666666666666667,0.9733333333333334,0.9733333333333334,High,Shutdown
152,False,True,0.4066666666666667,0.5933333333333334,0.5933333333333334,Low,No Action
580,False,False,0.77,0.23,0.77,Medium,No Action
1230,False,False,1.0,0.0,1.0,High,No Action
334,False,False,0.9866666666666667,0.013333333333333334,0.9866666666666667,High,No Action
244,False,False,1.0,0.0,1.0,High,No Action
944,False,False,1.0,0.0,1.0,High,No Action
589,False,False,1.0,0.0,1.0,High,No Action
1148,True,True,0.0,1.0,1.0,High,Shutdown
98,False,False,0.8166666666666667,0.18333333333333332,0.8166666666666667,Medium,No Action
660,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
1077,True,True,0.0,1.0,1.0,High,Shutdown
827,False,False,1.0,0.0,1.0,High,No Action
572,False,False,0.9833333333333333,0.016666666666666666,0.9833333333333333,High,No Action
905,True,True,0.056666666666666664,0.9433333333333334,0.9433333333333334,High,Shutdown
670,True,True,0.0,1.0,1.0,High,Shutdown
1134,True,True,0.0,1.0,1.0,High,Shutdown
584,True,True,0.36,0.64,0.64,Low,No Action
541,False,False,1.0,0.0,1.0,High,No Action
641,False,False,1.0,0.0,1.0,High,No Action
383,True,True,0.01,0.99,0.99,High,Shutdown
616,False,False,1.0,0.0,1.0,High,No Action
206,False,False,1.0,0.0,1.0,High,No Action
1076,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
367,False,False,1.0,0.0,1.0,High,No Action
852,False,False,0.9433333333333334,0.056666666666666664,0.9433333333333334,High,No Action
1201,True,True,0.0,1.0,1.0,High,Shutdown
518,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
565,False,False,0.8933333333333333,0.10666666666666667,0.8933333333333333,Medium,No Action
10,False,False,0.98,0.02,0.98,High,No Action
1045,False,False,0.9866666666666667,0.013333333333333334,0.9866666666666667,High,No Action
216,False,False,1.0,0.0,1.0,High,No Action
1174,True,True,0.0,1.0,1.0,High,Shutdown
402,True,True,0.01,0.99,0.99,High,Shutdown
623,False,False,1.0,0.0,1.0,High,No Action
397,True,True,0.023333333333333334,0.9766666666666667,0.9766666666666667,High,Shutdown
963,True,True,0.0,1.0,1.0,High,Shutdown
908,True,True,0.23333333333333334,0.7666666666666667,0.7666666666666667,Medium,Resize
605,True,True,0.0,1.0,1.0,High,Shutdown
1113,True,True,0.0,1.0,1.0,High,Shutdown
961,True,True,0.0,1.0,1.0,High,Shutdown
676,False,False,1.0,0.0,1.0,High,No Action
1222,True,True,0.32,0.68,0.68,Low,No Action
1118,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
328,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
490,True,True,0.006666666666666667,0.9933333333333333,0.9933333333333333,High,Shutdown
32,True,True,0.14,0.86,0.86,Medium,Resize
950,True,True,0.0,1.0,1.0,High,Shutdown
789,True,True,0.29333333333333333,0.7066666666666667,0.7066666666666667,Medium,Resize
563,True,True,0.28,0.72,0.72,Medium,Resize
443,False,False,1.0,0.0,1.0,High,No Action
30,True,True,0.0,1.0,1.0,High,Shutdown
413,True,True,0.03,0.97,0.97,High,Shutdown
231,False,False,1.0,0.0,1.0,High,No Action
893,False,False,0.75,0.25,0.75,Medium,No Action
646,False,False,1.0,0.0,1.0,High,No Action
1208,True,True,0.0,1.0,1.0,High,Shutdown
656,False,False,1.0,0.0,1.0,High,No Action
996,False,False,1.0,0.0,1.0,High,No Action
183,False,False,1.0,0.0,1.0,High,No Action
449,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
809,True,True,0.0,1.0,1.0,High,Shutdown
1167,False,False,0.94,0.06,0.94,High,No Action
495,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
158,True,True,0.016666666666666666,0.9833333333333333,0.9833333333333333,High,Shutdown
773,False,False,0.7833333333333333,0.21666666666666667,0.7833333333333333,Medium,No Action
163,True,True,0.04666666666666667,0.9533333333333334,0.9533333333333334,High,Shutdown
398,False,False,0.9233333333333333,0.07666666666666666,0.9233333333333333,High,No Action
556,False,False,0.99,0.01,0.99,High,No Action
599,False,False,1.0,0.0,1.0,High,No Action
488,True,True,0.0,1.0,1.0,High,Shutdown
750,False,False,0.97,0.03,0.97,High,No Action
1244,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
1080,False,False,0.9366666666666666,0.06333333333333334,0.9366666666666666,High,No Action
260,False,False,1.0,0.0,1.0,High,No Action
86,False,False,0.97,0.03,0.97,High,No Action
832,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
959,True,True,0.0,1.0,1.0,High,Shutdown
878,False,False,0.9266666666666666,0.07333333333333333,0.9266666666666666,High,No Action
207,False,False,1.0,0.0,1.0,High,No Action
947,True,True,0.03,0.97,0.97,High,Shutdown
338,False,False,0.7666666666666667,0.23333333333333334,0.7666666666666667,Medium,No Action
130,False,False,0.9866666666666667,0.013333333333333334,0.9866666666666667,High,No Action
694,False,False,1.0,0.0,1.0,High,No Action
701,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
